Path,Sample,MajorBasin,MinorBasin,Year,Number
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_041_sorted_proper_rmdup.bam,WAL_BYD_2015_041,WAL,BYD,2015,041
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_042_sorted_proper_rmdup.bam,WAL_BYD_2015_042,WAL,BYD,2015,042
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_043_sorted_proper_rmdup.bam,WAL_BYD_2015_043,WAL,BYD,2015,043
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_044_sorted_proper_rmdup.bam,WAL_BYD_2015_044,WAL,BYD,2015,044
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_045_sorted_proper_rmdup.bam,WAL_BYD_2015_045,WAL,BYD,2015,045
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_046_sorted_proper_rmdup.bam,WAL_BYD_2015_046,WAL,BYD,2015,046
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_047_sorted_proper_rmdup.bam,WAL_BYD_2015_047,WAL,BYD,2015,047
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_048_sorted_proper_rmdup.bam,WAL_BYD_2015_048,WAL,BYD,2015,048
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_113_sorted_proper_rmdup.bam,WAL_BYD_2015_113,WAL,BYD,2015,113
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_114_sorted_proper_rmdup.bam,WAL_BYD_2015_114,WAL,BYD,2015,114
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_115_sorted_proper_rmdup.bam,WAL_BYD_2015_115,WAL,BYD,2015,115
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_116_sorted_proper_rmdup.bam,WAL_BYD_2015_116,WAL,BYD,2015,116
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_117_sorted_proper_rmdup.bam,WAL_BYD_2015_117,WAL,BYD,2015,117
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_118_sorted_proper_rmdup.bam,WAL_BYD_2015_118,WAL,BYD,2015,118
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_119_sorted_proper_rmdup.bam,WAL_BYD_2015_119,WAL,BYD,2015,119
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_120_sorted_proper_rmdup.bam,WAL_BYD_2015_120,WAL,BYD,2015,120
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_121_sorted_proper_rmdup.bam,WAL_BYD_2015_121,WAL,BYD,2015,121
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_122_sorted_proper_rmdup.bam,WAL_BYD_2015_122,WAL,BYD,2015,122
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_123_sorted_proper_rmdup.bam,WAL_BYD_2015_123,WAL,BYD,2015,123
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_124_sorted_proper_rmdup.bam,WAL_BYD_2015_124,WAL,BYD,2015,124
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_125_sorted_proper_rmdup.bam,WAL_BYD_2015_125,WAL,BYD,2015,125
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_213_sorted_proper_rmdup.bam,WAL_BYD_2015_213,WAL,BYD,2015,213
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_214_sorted_proper_rmdup.bam,WAL_BYD_2015_214,WAL,BYD,2015,214
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_215_sorted_proper_rmdup.bam,WAL_BYD_2015_215,WAL,BYD,2015,215
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_216_sorted_proper_rmdup.bam,WAL_BYD_2015_216,WAL,BYD,2015,216
