Path,Sample,MajorBasin,MinorBasin,Year,Number
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_1996_314_sorted_proper_rmdup.bam,WWH_WIL_1996_314,WWH,WIL,1996,314
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_1996_315_sorted_proper_rmdup.bam,WWH_WIL_1996_315,WWH,WIL,1996,315
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_007_sorted_proper_rmdup.bam,WWH_WIL_2011_007,WWH,WIL,2011,007
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_009_sorted_proper_rmdup.bam,WWH_WIL_2011_009,WWH,WIL,2011,009
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_011_sorted_proper_rmdup.bam,WWH_WIL_2011_011,WWH,WIL,2011,011
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_013_sorted_proper_rmdup.bam,WWH_WIL_2011_013,WWH,WIL,2011,013
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_015_sorted_proper_rmdup.bam,WWH_WIL_2011_015,WWH,WIL,2011,015
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_019_sorted_proper_rmdup.bam,WWH_WIL_2011_019,WWH,WIL,2011,019
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_021_sorted_proper_rmdup.bam,WWH_WIL_2011_021,WWH,WIL,2011,021
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_023_sorted_proper_rmdup.bam,WWH_WIL_2011_023,WWH,WIL,2011,023
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_025_sorted_proper_rmdup.bam,WWH_WIL_2011_025,WWH,WIL,2011,025
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_027_sorted_proper_rmdup.bam,WWH_WIL_2011_027,WWH,WIL,2011,027
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_029_sorted_proper_rmdup.bam,WWH_WIL_2011_029,WWH,WIL,2011,029
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_031_sorted_proper_rmdup.bam,WWH_WIL_2011_031,WWH,WIL,2011,031
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_033_sorted_proper_rmdup.bam,WWH_WIL_2011_033,WWH,WIL,2011,033
